text,language,source,label
"The South African government is implementing a nutrition program to ensure students have access to healthy meals, recognizing that full stomachs lead to better academic results. The Department of Basic Education is driving this initiative to eliminate hunger as a barrier to learning, allowing students to focus more effectively on their schoolwork. By providing nutritious food, the government aims to improve overall educational outcomes and student performance across the country.",eng,machine,1
"UMahlatse’s journey to success began at the age of 15, when she spent her weekends and school holidays working at a local green vegetable nursery. Motivated by a deep desire to support her mother, she dedicated her youth to mastering the art of cultivation. Today, her perseverance has paid off, transforming those early struggles into a thriving agricultural enterprise.",eng,machine,1
"According to the Western Cape Department of Health, the summer heat brings with it a high risk of dehydration, which is a harmful loss of water in the body.Dehydration is usually caused by not drinking enough liquids to replenish the water lost by sweating. It can also be caused by an illness, that causes vomiting or diarrhoea; and by sweating from a fever.The loss of body fluids does not only occur during hard physical activities, but can also result from walking, gardening or riding a bike, especially in hot or humid conditions.When you are dehydrated, your body cannot function as usual. Children younger than five, the elderly and people working outdoors are especially vulnerable to dehydration and heatstroke (a condition caused when your body overheats).Heatstroke is a medical emergency. Seek medical help immediately for any of these symptoms: • Feeling confused or your speech starts to become slow and unclear.• Nausea and vomiting.• Rapid, shallow breathing.• Heart starts to race.• A throbbing headache.",eng,human,0
"Kodwa okunzima kunakho konke nje, lolu bhubhane seluthathe izimpilo zabantu abondlayo emakhaya amaningi, lwabashiya benga bantulayo futhi baphila ngo kwesaba uma becabanga ngekusasa.Yingakho izinyathelo zosizo esazibeka zazibalulekile futhi zaziphuthuma kakhulu. Futhi, njengamanje njengoba cishe sekusele kancane nje ukuthi kuphele unyaka, singakusho kugcwale umlomo nje ukuthi lezi zinyathelo zibonise ukusebenza kahle kakhulu.Ohlelweni olugcwele lwezinyathelo zosizo lwesibonelelo olwethulwa, mhlawumbe izinyathelo ezimbili ezibe nomthelela omkhulu kube yisibonelelo esikhethekile sikahulumeni se-COVID-19 kanye neSibonelelo Sesikhashana se-CO VID-19 Sokusiza Abaqashi Nabasebenzi Sesikhwama Somshwalense Wabalahlekelwe Ngumsebenzi, ngoku jwayelekile esaziwa njenge-COVID TERS.Besingeke sikwazi uku khipha lezi zinyathelo kulesi sikhashana esifushane uma ngabe besingenayo ingqalasizinda yokuvikelela ko mphakathi ebanzi ebesivele ikhona.Kuze kube sikwazile ukubhekana nalesi sidingo esikhulu futhi esiphuthu mayo emphakathini waki thi sibonga ingqalasizinda kazwelonke ekahle yeNhla ngano Yezimpesheni Nezibo nelelo Zikahulumeni eNingi zimu Afrika (i-SASSA) kanye Nesikhwama Somshwalense Wabalahlekelwe Ngumsebenzi (i-UIF).Noma bebukhona ubuxakaxaka kanye nezinye izi nkinga, kodwa iningi lazo lixazululwe ngokushesha. Lawa ma-ejensi kahulumeni enze umsebenzi oncomekayo ekubhaliseni izigidi zabantu abasha abazohlomula futhi aqinisekisa ukuthi bayakhokhelwa.Ukwesekela okuhlinze kwe yi-UIF kube yiyona ndlela yempilo emabhizinisini adonsa kanzima kanye nabasebenzi. Kwenze umehluko phakathi kokuthi izinkampani ziqhubeke nokuvula nokuthi ziphoqeleke ukuthi zivale, phakathi kwemisebenzi elondolozekile kanye naleyo egcine ilahleka.La mabhizinisi azuzile njenge-Sihle’s Brew, okuyi ndawo yokudlela e-Gauteng, ekwazile ukugcina abasebenzi bayo abayi-18 ngenxa yohlelo lwe-TERS .",zul,human,0
"Kodwa manje, ukudlondlobala kwesibalo sabantu abanegci-wane esasitshelwe ngako yizazi zezempilo, sekuphezu kwethu. Abantu baseNingizimu Afrika abangaphezu kwekota lesigidi sebetheleleke ngegciwane le-co-rona, futhi siyazi ukuthi baningi abanye abatheleleke ngalo leli gciwane kodwa abangabonakali. Njengamanje njalo ngosuku sithola abantu abangaphezu kwezi-12,000 abanaleli gciwane.Kusukela ekuqaleni kwalo mbhedukazwe ngoNdasa, okungenani abantu abayizi-4,079 sebebulewe yigciwane leCOVID-19. Njengoba izingxenye ezithile zezwe lethu zihlaselwe isimo se-zulu esiletha amakhaza ashubisa umnkantsha eqhamuka ngasoLwandle lwe-Antilathikhi kulesi sikhathi sonyaka, kunezinye izingxenye ezimbalwa zezwe ezingeke zichaphazelwe yileli gciwane le-corona.",zul,human,0
"• Funda imigomo elula yosizo lokuqala ukuze uyisebenzise uma kunesimo esiphuthumayo. Ubulelesi Kunezehlakalo eziningi zokugqekezwa kwezindlu nezigebengu ngamaholide kaKhisimusi. Qaphela ngaso sonke isikhathi ulande la lawa masu okuphepha: • Uma uhamba uya kumaholide, qikelela ukuthi wonke amafasitela nezicabha zendlu yakho kuvaliwe. • Uma omunye woma khelwane engeke aha mbe, bacele ukuba baku bhekele indlu yakho.",zul,human,0
"I-SANDF iqhubeka nokubamba iqhaza elikhulu ekulweni neCOVID-19 ezweni lonke. Leli butho lisiza ngokuhlola umphakathi, ukuxilonga, kanye nokulandela umkhondo walabo okungenzeka ukuthi basulele kile. Ngaphezu kwalokho, amasosha ayasiza nasezibhedleleni ukuze kunikezwe usizo oludingekayo kubagulayo. Le mikhuba iholelwa uMbutho Wezempilo Wamasosha aseNingizimu Afrika.",zul,machine,1
"Joining the BRICS group of countries in 2010 was a milestone in our quest to advance our own national development priorities by forging stronger ties with the important emerging economies of Brazil, Russia, India and China.Put into context, BRICS countries comprise roughly 41% of the world’s popula-tion and account for around 24% of global GDP and some 16% of global trade. We have reaped the bene-fits of membership of this important bloc, most nota-bly in the area of economic cooperation. Bilateral trade has grown, particularly with China and India, with commodity exports and manufactured goods imports featuring strongly. The BRICS countries continue to be important sources of foreign direct investment in key such as mining, automo-tive, transportation, clean energy, financial services and IT.",eng,human,0
"When returning to work after recovering from COVID-19, it is essential to follow official health guidelines regarding isolation periods. Individuals should ensure they are no longer contagious and are free of fever or significant symptoms before entering the workplace. To protect colleagues, it is recommended to maintain good hygiene practices and monitor for any recurring symptoms. Consulting a healthcare provider or reviewing company policy can ensure a safe transition back to professional duties.",eng,machine,1
"• Uma ushiye oshade naye nezingane, oshade naye uzothola isabelo sengane noma izi-R250 000, noma yikuphi okukhulu, bese izingane zabelana nge mali esele. Isibonelo nje, uma ifa lingabiza izigidi ezi-R2 futhi umufi eshiye owakwakhe nezingane ezintathu, inani lesabelo sengane ngayinye lili nganiselwa kuzi-R500 000. Isabelo sengane sibalwa ngokuhlukanisa inani kane. • Uma ungenaye umlingani noma izingane, kodwa bobabili abazali besaphi la, bazodla ifa ngezabelo ezilinganayo.",zul,human,0
"Growth in the wage bill has begun crowding out spending on capital projects for future growth and items that are critical for service delivery.The public service wage bill is by no means the only area where we are cutting costs. I have decided that there will be no increase in the salaries of senior public office bearers this year. This follows a re-duction in benefits stemming from changes to the Min-isterial Handbook. We will publish a new law this year introducing a remuneration framework for public entities and state owned companies to prevent excessive pay for board members and execu-tives.Our trade union compatri-ots are right in saying that we should in a demonstrable way prevent leakages of public funds by addressing corruption, ending irregu-lar, fruitless and wasteful expenditure.",eng,human,0
"Patient support is essential in the global effort to combat Tuberculosis (TB). South Africa has taken a leading role in this fight, implementing critical strategies to manage and eradicate the disease. To bolster these initiatives, the United States Agency for International Development (USAID) provides vital assistance and resources. Together, these efforts ensure that patients receive the care and encouragement needed to complete their treatment successfully.",eng,machine,1
"I-Operation Vulindlela iyinhlelo ehlose ukukhulisa umnotho waseNingizimu Afrika ngokuxisa izithiyo ezivimbela intuthuko. Le nhlelo ibhekisela ezinkingeni ezifana nokuntuleka kwamakhono kanye nezindleko eziphezulu zezinsizakalo zenethiwekhi. Ngokulungisa lezi zinkinga, kuhleliwe ukuthi kuvuleke amathuba amasha emisebenzi nokuthuthuka kwezemali. Lokhu kuzosiza ekutheni umnotho wezwe ukhule ngendlela efanele nengqalasizinda eqinile.",zul,machine,1
"Kubaluleke kakhulu ukuthi wonke umuntu abhale incwadi yefa ukuze aqinisekise ukuthi impahla yakhe izokwabiwa ngendlela ayifisayo. Uma umuntu eshona engayibhalanga le ncwadi, izimpahla zakhe zizokwabiwa ngokomthetho obizwa nge-Intestate Succession Act. Lokhu kusho ukuthi umthetho uzonquma ukuthi ubani ozothola ifa kunokuba kube yizifiso zomuntu oshonile. Ngakho-ke, bhala incwadi yefa ukuze uvikele ikusasa labantu obathandayo.",zul,machine,1
"Tertiary education institutions and SETAs are invited to provide as much information as possible to interested people.At many of these roadshows, Minister Angie Mot shekga was asked by youth to introduce programmes that could assist young people to be more employable, says Dr Malapile. In response, the DBE is launching a skills development programme this year that will target about 3.4 million young people who are not in employment, education or training. Courses will range from life skills – covering topics such as how to write a CV and what to do at a job interview; to basic skills courses, such as shoe repair, basic ITC and literacy.Did you know? • Regardless of whether you left school in the 60s or recently, you have to study the current curriculum.",eng,human,0
"We cannot afford endless delays in addressing this problem because of bureaucratic red-tape, outdated recruitment processes, lack of capacity and planning, or programmes that are short-lived or unsustainable.The success of the Presidential Employment Stimulus has shown that when we work together, move with speed, think creatively and manage our resources well, we can make a huge impact.The Presidential Employment Stimulus has demonstrated that we can create jobs if we work together as the public sector, labour, community and government.I have no doubt that the next phase of the Presidential Employment Stimulus will bring us even closer to meeting our collective goal of decent work and opportunities for all.",eng,human,0
"Ngaleso sizathu, sihlala njalo sikhohlwa ukuthi sibuya kuphi ekusebenzi seni izimiso eziyisisekelo soMthethosisekelo wethu futhi ezenanela imica bango nezimfundiso zika-Steve Biko. Ngowe-1977, umbuso ongenanhliziyo wabulala omunye wabaholi bezwe owayenekusasa ngokumncisha ukudla, amanzi kanye namakhambi okwelapha ayewadinga ngokuphuthuma ngenxa yokushaywa ngesihluku ngamaphoyisa obandlu lulo. Emva kweminyaka engamashumi amabili, kwisahlulelo senkantolo sangowe-1997, iNkantolo Yomthethosisekelo yathi ukuphelelisa ama lungelo ayisisekelo azo zonke izakhamuzi kanye nokusebenzela ukuzuza amalungelo abo ezenhlalo-mnotho kunguphawu lompha kathi wentando yeningi labantu ohlose ukubuyisa isithunzi esalahleka. Namuhla eNingizimu Afrika, siyaqhubeka nokusebenza ukuphelelisa amalungelo ayisisekelo awowonke umuntu waseNingizimu Afrika ukuze bezophila impilo esezingeni engenazo izifo, indlala kanye nokuswela.",zul,human,0
"Nginxenxa omunye nomunye wenu ahlale eqaphele, aqhubeke nokula-ndela imithethonqubo, noku-zigcina uphephile nokuphe-phisa abanye. Njengohulumeni sizonikeze-la ngolwazi ngokungenelela okuqonde ngqo esikwenzayo ukuvikela izakhamuzi ezi-buthaka kakhulu osizini lwe-ndlala. Phakathi kobunzima obuningi obubhekene nabantu bakithi kulesi sikhathi, ukucabanga ukuthi kaze ukudla abazokudla futhi kuzoqhamuka kuphi aku-mele bube obunye babo.",zul,human,0
"Bangafuna ukuthula nje noma benyuse izinga lomsindo. Bangaphinde futhi babe nolaka ngokwedlulele noma basheshe ukucasuka,” kusho yena.Uma weseka othandi-weyo, u-Ludziya uthi kuyasiza ukuthi uqonde indlela yokuzila kanye nokuthi wazi ukuthi omu-nye nomunye ubhekana nakho ngendlela engafani. Uyachaza ukuthi ukuzila akusona isimo nje, kodwa inqubo, futhi abantu bajwayele ukudlula ezigabeni zokuzila.Izigaba ezijwayelekile zokuzilaIzigaba zokuzila ezijwayelekile kungaba ukungavumi ukuthi ulahlekelwe noma ukuzivalela ngawedwana (uma ubheka-na nokuba ndikindiki noma ukushaqeka); ukuthukuthe-la (ukuthukuthelela abanye abantu bengenzanga lutho okubi); ukuzibuza-uziphendule (uma ubhekana nemi-zwa yokudliwa unembeza ngezinto ongazenzanga noma ongazishongo); uku-khathazeka (ukudabukisa okuza nokuthi ucabange ukuthi impilo izoqhubeka ngaphandle kothandiweyo); kanye nokwamukela (ukuthola indlela yoku-phila impilo ngokuphele-leyo ngaphandle komuntu othile).“Indlela eyodwa yokubhe-kana noma yokutshengisa ukweseka ukuqonda isigaba sokuzila okusona noma leso esibhekene nothandiweyo. Lokho kuzoqinisa idolo lowo ozilile ukuthi lokhu abhekene nakho kuyinto ejwayelekile.",zul,human,0
"“Bengihlala ngisho ngokwami ukuthi, ukube angizange ngigonywe, ngoZibandlela lapho ngesuleleka ngeCOVID-19, mhlawumbe ngabe angimile lapha,” esika kwelijikayo. UMongameli uzinike isikhathi sokunxusa abantu baseNingizimu Afrika ukuthi bathathe umgomo osindisa impilo futhi baqhubeke nokulandela izinyathelo eziyisisekelo sezempilo futhi bahlale beqaphile. “Sizokwazi ukuqhubeka nempilo yethu, ngisho naleli gciwane liphakathi kwethu,” usho kanje, wengeza ngokuthi lolu bhubhane selubhebhethekise uqhekeko phakathi kwalabo abasebenzayo kanye nabangasebenzi. Isikhwama Sobumbano UMongameli uRamaphosa umemezele ukuthi Isikhwama Sobumbano siqoqe izigidigidi ezi3.4 zamarandi kubantu baseNingizimu Afrika kanye nasezinkampanini ezingaphezu kwezi300 000, ngesikhathi abantu abangaphezu kwama-400 kanye nezinkampani eziyi100 bezinikele ngesikhathi nemisebenzi yabo.",zul,human,0
"The government is providing support to low-income families by introducing a tax-free category for certain household goods. This initiative is designed to assist individuals who spend a significant portion of their earnings on basic home necessities. By removing the tax on these specific items, the government aims to reduce the financial burden on struggling households.",eng,machine,1
"This topic explores the complexities of dementia, drawing on expert insight from Dr. Nhlakanipho Gumede, a Mental Health Manager at Harry Gwala Regional Hospital. Dr. Gumede clarifies that dementia should not be misunderstood as mere mental dysfunction or a simple disease. Instead, the information aims to provide a comprehensive overview to help people better understand and recognize the condition.",eng,machine,1
"The Department of Higher Education and Training launched the Central Application Clearing House, or i-CACH, as a critical intervention in 2018. This temporary initiative was established to assist students who had not yet secured placement at a higher education institution. By acting as a bridge between applicants and available spaces, i-CACH aimed to streamline the admissions process and increase overall access to tertiary education.",eng,machine,1
"South Africa continues to strive toward fulfilling the democratic vision outlined in its Constitution. The goal is to maintain a republic where sovereign power is held by the citizens and their elected representatives. This transition represents a critical departure from the country's past, during which these democratic principles were not upheld.",eng,machine,1
The government has pledged to assist residents in KwaZulu-Natal and Mpumalanga to rebuild their homes and lives following devastating recent floods. These floods left a trail of death and destruction across the two worst-hit provinces. The support initiative aims to provide essential relief and restoration for those most affected by the disaster.,eng,machine,1
"Chicken farming is a viable and skillful venture for home-based farmers looking to establish a sustainable business. This is exemplified by an individual who was inspired to start a successful poultry project after a simple trip to buy eggs. Such initiatives demonstrate how small-scale farming can be transformed into a productive and profitable enterprise. Ultimately, these programs provide a practical way for local farmers to enhance their livelihoods.",eng,machine,1
"He adds that the project is part of the National Development Plan 2030 and National Transport Master Plan 2050 and supports government’s Economic Reconstruction and Recovery Plan.To this end, government intends to develop a transport system that is consistent with the real needs of the people living in South Africa and caters for people with less money to spend on travel.Maketane says the upgrades will take between eight and 10 years to complete and road closures will be kept to the minimum. He adds that motorists will be kept informed of traffic delays and the KwaZulu-Natal traffic authorities will help maintain traffic control.Sanral appeals to motorists to heed all warning signs, reduce their speed when approaching a construction site and to have consideration for other road users .",eng,human,0
Abomama abaphila ne-HIV kodwa abancelisayo bakhuthazwa ukuba baphathe ingqondo mayelana nokunakekelwa komntwana wabo ukuze kugwenywe ukuthunyelwa kwegciwane. Kubalulekile ukuthi wonke umama axoxisane nomeluleki wakhe mayelana nezindlela ezahlukene zokupha umntwana ukudla ukuze kuthathwe izinqumo ezifanele. Lokhu kuzoqinisekisa ukuthi umntwana uvikelwe futhi uphila impilo enhle ngaphandle kokuphazanyiswa yileli gciwane.,zul,machine,1
"South Africa has recorded a sharp increase in new COVID-19 cases as the country approaches the winter season. According to Health Minister Dr. Joe Phaahla, there was a 137% surge in new infections reported around March 25 compared to the previous seven days. Authorities are urging the public to remain vigilant to curb the spread of the virus.",eng,machine,1
"To facilitate the voter registration process, 22,932 voting centers will be open from 08:00 to 17:00 during the designated registration weekend. This period serves as a critical opportunity for eligible citizens to ensure they are registered to vote. Special emphasis is placed on allowing first-time voters to easily access these services and join the electoral roll. Registering is an essential step for anyone wishing to participate in the democratic process.",eng,machine,1
"Ngenkathi lena kuyinqu bekela-phambili ebalu lekile, kodwa usemuni ngi umsebenzi oku safa nele ukuthi wenziwe ukuthi kubekwe ichweba laseThe kwini ezingeni lomhlaba futhi kube yichweba lokuthunye lwa kwempahla ngomkhumbi eNkabeni eseNingizimu Ye zwe. Eminyakeni yanamuhla, ichweba seliqhelile esikhu ndleni salo njengoba kade lisesikhundleni sokuqala laya kwesesithathu e-Afri ka, ngemuva nje kwechweba i-Tangier lase-Morocco kanye ne-Port Said lase-Egypt. Isikhathi sokwenziwa komsebenzi emalolini naso sithuthuke kakhulu. Ngoku fanayo, ukusebenza kahle kwezinsizakusebenza zoku phatha impahla sekutshengise ukuthuthuka ukufinyelela kuma-80% futhi kufanele kuphokophelele okungenani kuma-95% ukuze kufike esilinganisweni somhlaba jike lele.",zul,human,0
"I call on each and every one to remain vigilant, to continue to abide by the regulations, and to keep safe and keep others safe.As government we will be providing information on the direct interventions we are taking to shield our most vul-nerable citizens from the grim prospect of starvation.Among the many diﬃ culties our people face at this time, wondering where their next meal will come from should not be one of them.",eng,human,0
"The school, based in Mthatha in the Eastern Cape, first started operating in a garage at the home of community member Nkululeko Ralo, who it is named after. Over the years, the school moved a number of times as it expanded. However, learners and teachers never had the benefit of proper facilities until recently, when they walked through the doors of their new, stateof-the-art school. The school was completed as part of the Accelerated Schools Infra-structure Delivery Initiative (ASIDI), which was launched by the Department of Basic Education in 2011.",eng,human,0
"Illegal migration affects service delivery and places additional burdens on essential services such as health care and education. Like any sovereign nation, we have the right to implement policies and measures that guarantee the integrity of our borders, protect the rights of South Africans and provide that all who reside in our borders have a legal right to be here. Controlling migration is the responsibility of government. No private citizen may assume the role of immigration or law enforcement authorities by demanding that foreign nationals produce identification.",eng,human,0
"Dr. Nhlakanipho Gumede, the Manager of Health and Life at Harry Gwala Regional Hospital in Mgu ngundlovu, is providing essential clarity regarding albinism. He emphasizes that albinism is not a mental disability, a disease, or an infectious condition. By addressing these misconceptions, Dr. Gumede aims to educate the public on the actual nature of the condition.",eng,machine,1
"Ukwakha isisekelo esiqinile sotshalomali kubalulekile ekukhuliseni umnotho nasekuqinisekiseni ukuthi izimali zisebenza ngendlela efanele. Ngokubamba inkqungquthela yotshalomali yokuqala ngo-2018, saqala uhambo lokunqamulela imali engama-R1.2 billion ekuvuseleleni imikhakha emisha yokutshala imali. Lokhu kuzosiza ekudaleni amathuba emisebenzi nasekuqinisekiseni ukuthi isisekelo sezomnotho siba namandla kakhulu eminyakeni ezayo.",zul,machine,1
"Ngesikhathi umdlwenguli owayehlome ngesikhali etshela lo mfanyana ukuthi akalale phansi futhi angabuki, usakuzwa na manje ukukhala kukadadewabo. Ngemva kokudlwengula, le ndoda yatshela uTshepo noda dewabo ukuthi bagijime futhi bangabheki emuva. Ngesikhathi bethatha uhambo olubuhlungu lokulibangisa ekhaya, udadewa bo wamenza wathembisa ukuthi ngeke atshele muntu mayelana nokudlwengulwa. UTshepo wenza njengalokho ethembisile kodwa le mfihlo yamenza waba muncu.",zul,human,0
"If you have any problems such a painful nipples or breasts, be sure to go the clinic early for help. The department strongly recommends exclusive breastfeeding because it helps the baby develop a stronger immune system, and a stronger bond between mother and baby. Breastfeeding also reduces the mother’s risks of developing breast cancer. Breastfeeding myths and facts There are several myths asso-ciated with breastfeeding, the department debunked these myths by answering the following frequently asked questions by mothers who are HIV positive and those who are not HIV positive.Question: My neighbour said that I should get some medicine to clean my baby's stomach.",eng,human,0
